setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,coverage,mean_len,sd_len
s001,1,20270214,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3722426926973506,0.3007142857142857,0.19214285714285714,0.915,1.17696059161708,0.08468773319576735
s001,2,20270215,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4152082951861358,0.2957142857142857,0.20357142857142857,0.9183333333333333,1.259556338819017,0.06359750281667474
s001,3,20270216,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4008400133069372,0.3107142857142857,0.20714285714285716,0.905,1.2464474564344707,0.08156820162321923
s001,4,20270217,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.373580623545053,0.31142857142857144,0.21142857142857144,0.8583333333333333,1.1576210365771746,0.10414084030763417
s001,5,20270218,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4172972860346247,0.30714285714285716,0.21928571428571428,0.9,1.2250653746977818,0.09095830162684099
s001,6,20270219,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4305423105078923,0.3028571428571429,0.2007142857142857,0.9066666666666666,1.2585175352863067,0.07179470193388067
s001,7,20270220,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3795311443548393,0.30357142857142855,0.20642857142857143,0.8883333333333333,1.203151553663914,0.07953642090254223
s001,8,20270221,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3698078383752845,0.3192857142857143,0.205,0.92,1.1934609790879176,0.08754680502679049
s001,9,20270222,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3770221425219002,0.3292857142857143,0.21642857142857144,0.9016666666666666,1.21855234900698,0.076579915347408975
s001,10,20270223,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2938655334635856,0.30642857142857144,0.21142857142857144,0.9016666666666666,1.1377996348200203,0.07153092687598216
s001,11,20270224,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3584911889874807,0.31285714285714283,0.2042857142857143,0.9033333333333333,1.1976178682181855,0.07274501049112665
s001,12,20270225,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4445451154212516,0.3157142857142857,0.21,0.8733333333333333,1.2510131533943856,0.09856638912483892
s001,13,20270226,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3833916660167644,0.29714285714285715,0.205,0.9116666666666666,1.213948388703961,0.07725196398082876
s001,14,20270227,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3670523550796618,0.30142857142857143,0.2042857142857143,0.8883333333333333,1.202213390171465,0.07426648968937608
s001,15,20270228,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3979238688161288,0.305,0.2007142857142857,0.875,1.1943481497755215,0.10223871103410752
s001,16,20270229,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.2828446746803808,0.31642857142857145,0.21857142857142858,0.9033333333333333,1.1219384149404537,0.07142816484045773
s001,17,20270230,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3991578420836852,0.3157142857142857,0.2042857142857143,0.8833333333333333,1.1978434865828673,0.10138425435410248
s001,18,20270231,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.343389760302851,0.3007142857142857,0.20714285714285716,0.8966666666666666,1.164550427210696,0.07653082540192814
s001,19,20270232,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.390239714760229,0.29928571428571427,0.19214285714285714,0.8966666666666666,1.2189262591844354,0.07308483963767058
s001,20,20270233,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3237409146233456,0.3,0.215,0.885,1.1440014545673851,0.07695113753099707
s001,21,20270234,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.399228126079024,0.3171428571428571,0.215,0.9133333333333333,1.235689716907457,0.07797039256636423
s001,22,20270235,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3810097697672437,0.3242857142857143,0.20857142857142857,0.91,1.1905972849339144,0.10483458727682499
s001,23,20270236,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3843564458772035,0.30714285714285716,0.195,0.9016666666666666,1.2199291733683564,0.07569968058432383
s001,24,20270237,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4032071312710677,0.31,0.2092857142857143,0.87,1.2378654915208793,0.07997822837978703
s001,25,20270238,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3575536361197047,0.3157142857142857,0.22,0.9066666666666666,1.179143455929545,0.08127602488554914
s001,26,20270239,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4530430763505255,0.3078571428571429,0.2007142857142857,0.9066666666666666,1.2654952322122561,0.10112157771848296
s001,27,20270240,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3307230227188742,0.30642857142857144,0.20857142857142857,0.8833333333333333,1.1533243318923974,0.07546036745466775
s001,28,20270241,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.392945795293527,0.30642857142857144,0.19285714285714287,0.91,1.2440351373233616,0.06699908966728538
s001,29,20270242,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.344889573281977,0.3092857142857143,0.2057142857142857,0.8933333333333333,1.1798814426985218,0.08019594969611261
s001,30,20270243,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4445512613336284,0.315,0.195,0.9083333333333333,1.2776252640883654,0.08953120245562986
s002,1,20280214,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3134324641341166,0.17785714285714285,0.07571428571428572,0.9333333333333333,2.1716493187496395,0.05634292328817669
s002,2,20280215,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.167151574439394,0.165,0.06928571428571428,0.8883333333333333,1.9876802035619043,0.07068961368122394
s002,3,20280216,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.9,2000,0.3,0.1,1500,2.3495676235948917,0.17,0.08142857142857143,0.8833333333333333,2.1630416698858137,0.0829528490403618
