scenario_id,scenario_label,scenario_description,tau_quantile,method_id,method_label,estimator_family,working_model,spec_status,is_conformal,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,cp_cox,CP + Cox,conformal,Cox,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.8958888888888888,0.01848025420977013,1.138557488018854,0.04947237258255424,2.0452296421327034,0.003374017366373636,0.009032378145588356,0.888988248558111,0.9027895292196667,1.120084200496545,1.157030775541163,0.9,0.0041111111111111764
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,correct,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.899,0.016280585716256263,1.1103316785194577,0.046405148662896606,2.0452296421327034,0.002972414682063319,0.008472382235683057,0.8929207293835336,0.9050792706164664,1.0930037112315603,1.1276596458073551,0.9,0.0010000000000000009
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,cp_weibull,CP + Weibull,conformal,Weibull,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.8961111111111111,0.017233650886007645,1.1181119792649608,0.044623733198036024,2.0452296421327034,0.0031464197794784264,0.008147141757552158,0.8896759601115292,0.902546262110693,1.101449203443758,1.1347747550861635,0.9,0.0038888888888889417
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,plugin_cox,Cox Plug-in,plug-in,Cox,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.9090555555555555,0.012508107204901057,1.1621791030365727,0.042420282962073036,2.0452296421327034,0.0022836574892724005,0.007744848624693155,0.9043849515660173,0.9137261595450937,1.1463391090555195,1.1780190970176259,0.9,0.009055555555555483
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,correct,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.8953888888888889,0.014534167257877185,1.1046407490216665,0.03998027281833205,2.0452296421327034,0.0026535637538974465,0.007299365759270369,0.8899617416421289,0.9008160361356489,1.0897118698020383,1.1195696282412948,0.9,0.004611111111111121
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.7,plugin_weibull,Weibull Plug-in,plug-in,Weibull,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,1.5708018396645498,0.04745446221074346,0.4106190476190476,0.20807142857142857,0.9175555555555556,0.013026155042757497,1.1570777369093217,0.04313280452209795,2.0452296421327034,0.002378239651492651,0.007874936668404628,0.9126915093242275,0.9224196017868836,1.1409716830051828,1.1731837908134606,0.9,0.017555555555555546
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,cp_cox,CP + Cox,conformal,Cox,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.8958888888888888,0.017949126347928328,1.651059142700836,0.06669751807618321,2.0452296421327034,0.003277047129423555,0.012177245059978038,0.8891865749611259,0.9025912028166518,1.626153880144655,1.6759644052570173,0.9,0.0041111111111111764
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,correct,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.8973333333333333,0.01871135864999482,1.6184468354269816,0.06616581388139867,2.0452296421327034,0.0034162110713905247,0.012080169599510165,0.8903463971863435,0.9043202694803232,1.5937401144800731,1.6431535563738902,0.9,0.002666666666666706
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,cp_weibull,CP + Weibull,conformal,Weibull,misspecified,TRUE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.8983333333333333,0.019515196946928166,1.6315007609139882,0.06689370555931397,2.0452296421327034,0.0035629711939961684,0.012213063829981665,0.8910462390333074,0.9056204276333593,1.606522240747651,1.6564792810803255,0.9,0.0016666666666667052
aft_lognormal_linear,Log-Normal AFT (Linear),"Linear log-normal accelerated-failure-time DGP; log-normal is correct, Cox and Weibull are misspecified.",0.8,plugin_cox,Cox Plug-in,plug-in,Cox,misspecified,FALSE,2000,0.3,3,0.3,0.7,0.2,0.1,1500,30,2.091042500326827,0.07212685966711661,0.3275,0.13011904761904763,0.9128333333333333,0.013986515125791165,1.685407110921753,0.06757144284481915,2.0452296421327034,0.002553576611761009,0.012336801163092834,0.9076106827535029,0.9180559839131637,1.6601755194938983,1.7106387023496077,0.9,0.012833333333333252
