method_id,method_label,coverage,mean_len,sd_len,setting_id,rep,seed,dgp_id,dgp_label,p,beta_scale,gamma,kappa,cens_target,tau_quantile,n,test_frac,alpha,B,tau,censor_rate_emp,admin_mass_emp,train_n,test_n,split_support_n,split_fit_n
cp_cox_full,CP + Cox,0.92,1.190206906532254,0.08448201418651384,s001,12,20270424,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3362040123245633,0.31214285714285717,0.21285714285714286,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8966666666666666,1.1531198005937393,0.11841371510449801,s001,12,20270424,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3362040123245633,0.31214285714285717,0.21285714285714286,1400,600,700,700
cp_cox_full,CP + Cox,0.9016666666666666,1.2449852686389995,0.06920411399106403,s001,13,20270425,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4071635117947117,0.30142857142857143,0.19285714285714287,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9133333333333333,1.261996315339112,0.07276084794819565,s001,13,20270425,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4071635117947117,0.30142857142857143,0.19285714285714287,1400,600,700,700
cp_cox_full,CP + Cox,0.89,1.2384548906632136,0.08135501672583786,s001,14,20270426,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4204272187465603,0.2957142857142857,0.215,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9,1.2559011386543701,0.06791751009746232,s001,14,20270426,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4204272187465603,0.2957142857142857,0.215,1400,600,700,700
cp_cox_full,CP + Cox,0.8933333333333333,1.2211598235783525,0.07902511211369619,s001,15,20270427,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3862859221778192,0.3007142857142857,0.1992857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9033333333333333,1.2269834270186608,0.07071269512978279,s001,15,20270427,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3862859221778192,0.3007142857142857,0.1992857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.8833333333333333,1.2505537763933907,0.08979122858826356,s001,16,20270428,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4464613505068744,0.30214285714285716,0.19785714285714287,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8783333333333333,1.2430835996299308,0.08312371547248601,s001,16,20270428,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4464613505068744,0.30214285714285716,0.19785714285714287,1400,600,700,700
cp_cox_full,CP + Cox,0.925,1.2118144536055748,0.07486156383417153,s001,17,20270429,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3759042209313406,0.305,0.205,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9133333333333333,1.1952187320699925,0.07513993342327611,s001,17,20270429,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3759042209313406,0.305,0.205,1400,600,700,700
cp_cox_full,CP + Cox,0.89,1.2167859821727736,0.117701284366649,s001,18,20270430,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.415496529160205,0.31357142857142856,0.20357142857142857,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.92,1.2566808420710631,0.09825018230446306,s001,18,20270430,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.415496529160205,0.31357142857142856,0.20357142857142857,1400,600,700,700
cp_cox_full,CP + Cox,0.895,1.1316832133429233,0.0816509810680577,s001,19,20270431,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3229947442799301,0.29642857142857143,0.19785714285714287,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9133333333333333,1.150970535123357,0.08255681009556964,s001,19,20270431,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3229947442799301,0.29642857142857143,0.19785714285714287,1400,600,700,700
cp_cox_full,CP + Cox,0.8916666666666667,1.1889155631424773,0.08966818156330879,s001,20,20270432,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3679407095983445,0.2914285714285714,0.20357142857142857,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.89,1.186954686435245,0.10581836841178999,s001,20,20270432,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3679407095983445,0.2914285714285714,0.20357142857142857,1400,600,700,700
cp_cox_full,CP + Cox,0.8833333333333333,1.1773956301684425,0.0969974801253524,s001,21,20270433,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3622776693943939,0.31,0.21428571428571427,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9033333333333333,1.201176720541165,0.09445207917237823,s001,21,20270433,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3622776693943939,0.31,0.21428571428571427,1400,600,700,700
cp_cox_full,CP + Cox,0.91,1.209549643943389,0.10691655841999376,s001,22,20270434,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3789293226119166,0.31357142857142856,0.20785714285714285,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.8866666666666667,1.170642121042014,0.13965979270798728,s001,22,20270434,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3789293226119166,0.31357142857142856,0.20785714285714285,1400,600,700,700
cp_cox_full,CP + Cox,0.905,1.2890058663811037,0.08196903793109502,s001,23,20270435,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4660976503081657,0.31857142857142856,0.21714285714285714,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.9166666666666666,1.2964284763165064,0.08487227500949274,s001,23,20270435,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.4660976503081657,0.31857142857142856,0.21714285714285714,1400,600,700,700
cp_cox_full,CP + Cox,0.9083333333333333,1.1605517241812475,0.08330991872097122,s001,24,20270436,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3331959115656096,0.31,0.20142857142857143,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.93,1.1989030874894755,0.07481854994453041,s001,24,20270436,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.3331959115656096,0.31,0.20142857142857143,1400,600,700,700
cp_cox_full,CP + Cox,0.9016666666666666,1.1607868621523798,0.08349131928708366,s001,25,20270437,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.332855635672436,0.3078571428571429,0.205,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.905,1.1660204571197403,0.08578128390743203,s001,25,20270437,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.332855635672436,0.3078571428571429,0.205,1400,600,700,700
cp_cox_full,CP + Cox,0.895,1.1965353467570061,0.07114433251325089,s001,26,20270438,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.355937681127588,0.31,0.21071428571428572,1400,600,700,700
cp_cox_split_support_fit,CP + Cox (Split Support/Fit),0.885,1.1718963522425885,0.08640353638201004,s001,26,20270438,base,Base Weibull PH,3,0.3,1.2,1,0.1,0.75,2000,0.3,0.1,1500,1.355937681127588,0.31,0.21071428571428572,1400,600,700,700
