regime,method_label,tau_quantile,coverage_mean,length_mean
tau_q=0.75,CP + Cox,0.75,0.8995555555555556,1.2050360908481936
tau_q=0.90,CP + Cox,0.9,0.898986111111111,2.3193865239731584
tau_q=0.97,CP + Cox,0.97,0.8978935185185185,4.182756432509452
tau_q=0.75,CP + Cox (Cross-Fit),0.75,0.9011666666666667,1.2074131576296891
tau_q=0.90,CP + Cox (Cross-Fit),0.9,0.9004444444444444,2.3219034775080796
tau_q=0.97,CP + Cox (Cross-Fit),0.97,0.9001018518518519,4.186968273755925
Overall,CP + Cox,NA,0.8988117283950617,2.5690596824436014
Overall,CP + Cox (Cross-Fit),NA,0.900570987654321,2.572094969631231
