scenario_id,scenario_label,tau_quantile,method_id,method_label,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
aft_lognormal_linear,Log-Normal AFT (Linear),0.7,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,1.5708018396645498,0.8953333333333333,0.017872472894267362,1.1367380319400833,0.049012688906237785,0.4106190476190476,0.20807142857142857,2.0452296421327034,0.0032630521875299592,0.008948451772643215,0.888659642275571,0.9020070243910956,1.1184363931234784,1.1550396707566881,0.9,0.004666666666666708
aft_lognormal_linear,Log-Normal AFT (Linear),0.7,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,1.5708018396645498,0.8981666666666667,0.01505004423307867,1.1414704140301832,0.042496583251686204,0.4106190476190476,0.20807142857142857,2.0452296421327034,0.002747749572635908,0.007758779087948258,0.8925468877915542,0.9037864455417791,1.1256019290527521,1.1573388990076143,0.9,0.0018333333333333535
aft_lognormal_linear,Log-Normal AFT (Linear),0.8,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,2.091042500326827,0.8980555555555556,0.018320702719823494,1.656225472496224,0.06659809761699707,0.3275,0.13011904761904763,2.0452296421327034,0.003344887382997859,0.012159093450586782,0.8912144927302527,0.9048966183808586,1.6313573341496224,1.6810936108428256,0.9,0.0019444444444444153
aft_lognormal_linear,Log-Normal AFT (Linear),0.8,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,2.091042500326827,0.9011111111111111,0.016817326709381113,1.6602515759702965,0.07288135498421534,0.3275,0.13011904761904763,2.0452296421327034,0.0030704097318873876,0.01330625404879877,0.8948314181139623,0.9073908041082599,1.633037230763945,1.687465921176648,0.9,0.0011111111111110628
aft_lognormal_linear,Log-Normal AFT (Linear),0.9,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,3.0654836286829226,0.9033888888888889,0.016993819776620425,2.633262063641014,0.10457817384386935,0.2588809523809524,0.05676190476190476,2.0452296421327034,0.0031026328099441366,0.019093274945661327,0.8970432922973377,0.9097344854804401,2.5942119317567576,2.6723121955252704,0.9,0.0033888888888888857
aft_lognormal_linear,Log-Normal AFT (Linear),0.9,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,3.0654836286829226,0.9071666666666667,0.017779783172332902,2.6401936651967572,0.1044067279752335,0.2588809523809524,0.05676190476190476,2.0452296421327034,0.0032461294370124973,0.019061973355780356,0.9005275865198892,0.9138057468134442,2.6012075522519713,2.679179778141543,0.9,0.0071666666666666545
aft_lognormal_linear,Log-Normal AFT (Linear),0.99,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,7.579381621460917,0.8998888888888888,0.01376411385235116,7.151630688186728,0.4701574935106391,0.20547619047619048,0.0025952380952380953,2.0452296421327034,0.0025129718803340207,0.08583862159195527,0.8947492843093837,0.905028493468394,6.976070994867049,7.327190381506407,0.9,1.1111111111117289e-4
aft_lognormal_linear,Log-Normal AFT (Linear),0.99,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,7.579381621460917,0.901,0.015754340154905726,7.153229952233259,0.47304008064742986,0.20547619047619048,0.0025952380952380953,2.0452296421327034,0.002876335827150433,0.08636490759155344,0.8951172327055836,0.9068827672944164,6.976593883186962,7.329866021279556,0.9,0.0010000000000000009
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.7,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,1.564450808958702,0.9007777777777778,0.017029011380814744,1.1864485761151355,0.04262889379769886,0.4091666666666667,0.2114047619047619,2.0452296421327034,0.003109057888428144,0.007782935578163911,0.894419040425258,0.9071365151302976,1.1705306855678654,1.2023664666624057,0.9,7.777777777777661e-4
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.7,cp_cox_crossfit,CP + Cox (Cross-Fit),2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,30,1.564450808958702,0.8992222222222223,0.0193710162550526,1.1853154402979595,0.034165830057975195,0.4091666666666667,0.2114047619047619,2.0452296421327034,0.0035366475215638515,0.0062377986062136835,0.8919889658773447,0.9064554785670998,1.1725577096868773,1.1980731709090418,0.9,7.777777777777661e-4
