scenario_id,scenario_label,tau_quantile,method_id,method_label,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,split_frac,n_rep,tau_mean,coverage_mean,coverage_sd,length_mean,length_sd,censor_rate_emp_mean,admin_mass_emp_mean,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
aft_lognormal_linear,Log-Normal AFT (Linear),0.7,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,1.5668712589047902,0.8992777777777777,0.015803409917052258,1.133866106955286,0.04399754102899746,0.41033333333333333,0.2109047619047619,2.0452296421327034,0.002885294699023456,0.008032815232113655,0.8933766875330466,0.9051788680225089,1.117437155132792,1.15029505877778,0.9,7.222222222222907e-4
aft_lognormal_linear,Log-Normal AFT (Linear),0.7,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,1.5668712589047902,0.9013333333333333,0.018032537641527426,1.138738650006974,0.03999820900536971,0.41033333333333333,0.2109047619047619,2.0452296421327034,0.0032922758784418595,0.007302640444015755,0.8945998731166656,0.9080667935500011,1.123803073305036,1.1536742267089122,0.9,0.0013333333333332975
aft_lognormal_linear,Log-Normal AFT (Linear),0.8,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.066564148343929,0.8978888888888888,0.016428956152337484,1.6425316665783862,0.06464727338003064,0.33364285714285713,0.13064285714285714,2.0452296421327034,0.00299950329363284,0.01180292330381534,0.8917542158410763,0.9040235619367014,1.6183919779736042,1.6666713551831682,0.9,0.0021111111111111747
aft_lognormal_linear,Log-Normal AFT (Linear),0.8,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.066564148343929,0.897,0.021101833008576265,1.6406675547543736,0.06226714694527391,0.33364285714285713,0.13064285714285714,2.0452296421327034,0.0038526499811681087,0.01136837365780514,0.889120446057753,0.9048795539422471,1.61741661996659,1.6639184895421573,0.9,0.0030000000000000027
aft_lognormal_linear,Log-Normal AFT (Linear),0.9,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,3.055208253829756,0.9001666666666667,0.01666867803955092,2.62700793513197,0.10756198418212057,0.25861904761904764,0.055285714285714285,2.0452296421327034,0.0030432703220176762,0.019638041688853768,0.8939424799950534,0.90639085333828,2.5868436301564883,2.6671722401074516,0.9,1.666666666666483e-4
aft_lognormal_linear,Log-Normal AFT (Linear),0.9,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,3.055208253829756,0.8983888888888889,0.02203481803009529,2.6227634965972024,0.12043939956907543,0.25861904761904764,0.055285714285714285,2.0452296421327034,0.0040229889618682456,0.021989125318786863,0.8901609526141033,0.9066168251636745,2.577790685690649,2.667736307503756,0.9,0.0016111111111111187
aft_lognormal_linear,Log-Normal AFT (Linear),0.99,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,7.696237788710353,0.8914444444444445,0.013615782293298212,7.263942308239416,0.4862351127862411,0.2044047619047619,0.002857142857142857,2.0452296421327034,0.002485890366706284,0.08877397984136429,0.8863602277793646,0.8965286611095243,7.082379133217767,7.445505483261066,0.9,0.008555555555555538
aft_lognormal_linear,Log-Normal AFT (Linear),0.99,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,7.696237788710353,0.8943888888888889,0.013719154418424528,7.267298268899716,0.4903792670299083,0.2044047619047619,0.002857142857142857,2.0452296421327034,0.002504763448289261,0.08953059542837671,0.8892660724379172,0.8995117053398606,7.084187641251809,7.450408896547623,0.9,0.005611111111111122
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.7,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,1.5648754110350602,0.8960555555555556,0.016285781903533244,1.1792988233592532,0.0366687845600157,0.4080714285714286,0.21114285714285713,2.0452296421327034,0.0029733633717248602,0.006694773486605916,0.8899743446508723,0.9021367664602389,1.1656064741770826,1.1929911725414237,0.9,0.003944444444444417
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.7,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,1.5648754110350602,0.9000555555555555,0.01995916968868089,1.1839195091621728,0.036385470152827136,0.4080714285714286,0.21114285714285713,2.0452296421327034,0.0036440291558546287,0.006643047589378122,0.8926026791092058,0.9075084320019052,1.1703329513182785,1.197506067006067,0.9,5.555555555547542e-5
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.8,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.0218949723749393,0.9013888888888889,0.0160762272630754,1.6444336695830064,0.056485455237066114,0.33145238095238094,0.13147619047619047,2.0452296421327034,0.0029351041038553115,0.01031278600142981,0.8953859269729387,0.9073918508048391,1.623341653959911,1.6655256852061018,0.9,0.001388888888888884
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.8,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.0218949723749393,0.8995555555555556,0.015615920094848232,1.6406699137312164,0.06162279694926479,0.33145238095238094,0.13147619047619047,2.0452296421327034,0.0028510638973821964,0.011250731981890954,0.893724475161015,0.905386635950096,1.6176595831861627,1.6636802442762701,0.9,4.444444444444695e-4
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.9,cp_cox_full,CP + Cox,2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.885199666476381,0.8988888888888888,0.015952115446817943,2.5034711832670054,0.08839878914908911,0.25716666666666665,0.05795238095238095,2.0452296421327034,0.0029124444900495965,0.01613933695769967,0.8929322710867733,0.9048455066910044,2.47046253291675,2.5364798336172605,0.9,0.0011111111111111738
aft_lognormal_nonlinear,Log-Normal AFT (Nonlinear),0.9,cp_cox_halfsplit,CP + Cox (Half-Split),2000,0.3,3,0.3,0.7,0.2,0.1,1500,0.5,30,2.885199666476381,0.903,0.016338141445720916,2.5068721007746886,0.08539357361650408,0.25716666666666665,0.05795238095238095,2.0452296421327034,0.002982922872510471,0.015590662178579098,0.8968992377209459,0.9091007622790541,2.4749856163465815,2.5387585852027956,0.9,0.0030000000000000027
