tau_quantile,method_id,method_label,estimator_family,working_model,spec_status,is_conformal,n,test_frac,p,beta_scale,gamma,kappa,cens_target,alpha,B,n_rep,tau_mean,tau_sd,censor_rate_emp_mean,admin_mass_emp_mean,coverage_mean,coverage_sd,length_mean,length_sd,tcrit,coverage_se,length_se,coverage_ci_low,coverage_ci_high,length_ci_low,length_ci_high,target_coverage,abs_cov_error
0.7,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.9035,0.020905507166415684,1.040871165836715,0.03784919093762829,2.0452296421327034,0.0038168059503772586,0.006910285219953041,0.8956937553320199,0.91130624466798,1.0267380456692754,1.0550042860041544,0.9,0.0034999999999999476
0.7,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.9044444444444445,0.019349246984730888,1.038315775057148,0.038032785745825505,2.0452296421327034,0.003532673014758642,0.006943804892583191,0.8972193168786978,0.9116695720101912,1.0241140994616507,1.0525174506526451,0.9,0.004444444444444473
0.7,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.9027777777777778,0.018627901729953166,1.0403173556374945,0.03781206935259181,2.0452296421327034,0.0034009739921616188,0.006903507776788098,0.8958220049568865,0.9097335505986691,1.0261980968977138,1.0544366143772752,0.9,0.002777777777777768
0.7,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.903,0.017526116254260503,1.0401086486993598,0.03375214975397599,2.0452296421327034,0.0031998164059721416,0.0061622712615150305,0.8964556406371232,0.9095443593628768,1.0275053888524468,1.0527119085462728,0.9,0.0030000000000000027
0.7,plugin_lognormal,Log-Normal Plug-in,plug-in,Log-Normal,misspecified,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.911,0.016549009994581733,1.049067086745147,0.03324159669627813,2.0452296421327034,0.003021422026136954,0.006069057452680246,0.904820498110752,0.917179501889248,1.036654470543119,1.061479702947175,0.9,0.01100000000000001
0.7,plugin_weibull,Weibull Plug-in,plug-in,Weibull,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.2078887322948744,0.03674155371288393,0.40726190476190477,0.2023095238095238,0.9030555555555555,0.01752985047644994,1.0404407743806197,0.033329463680555074,2.0452296421327034,0.0032004981785481055,0.006085099695796391,0.8965098018111972,0.9096013092999138,1.0279953481074442,1.0528862006537951,0.9,0.003055555555555478
0.8,cp_cox,CP + Cox,conformal,Cox,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9027777777777778,0.017914940217987018,1.4262707939545798,0.04185905821664769,2.0452296421327034,0.0032708056245826693,0.007642383473726637,0.896088229160727,0.9094673263948286,1.410640364737569,1.4419012231715906,0.9,0.002777777777777768
0.8,cp_lognormal,CP + Log-Normal,conformal,Log-Normal,misspecified,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9005555555555556,0.017261418750117913,1.42171409453796,0.04560660331336743,2.0452296421327034,0.003151489474660737,0.008326588468640397,0.8941100358651102,0.9070010752460009,1.4046843089840564,1.4387438800918637,0.9,5.555555555555314e-4
0.8,cp_weibull,CP + Weibull,conformal,Weibull,correct,TRUE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9002777777777777,0.01876494721371709,1.4242697284857941,0.045264035594638756,2.0452296421327034,0.0034259949597821885,0.008264044446300137,0.893270831332234,0.9072847242233215,1.407367859820319,1.4411715971512693,0.9,2.777777777777102e-4
0.8,plugin_cox,Cox Plug-in,plug-in,Cox,correct,FALSE,2000,0.3,3,0.3,1.2,1,0.2,0.1,1500,30,1.59213192465835,0.04459058054545225,0.3272857142857143,0.1255,0.9008888888888889,0.015065205232075218,1.4237402225500515,0.04302669962074189,2.0452296421327034,0.0027505175796841493,0.007855564652426436,0.8952634488037118,0.9065143289740659,1.407673788867219,1.439806656232884,0.9,8.88888888888828e-4
