method_id,method_label,coverage,mean_len,sd_len,scenario_id,scenario_label,rep,seed,tau_quantile,tau,n,test_frac,p,beta_scale,sigma,cens_target,alpha,B,n_folds,censor_rate_emp,admin_mass_emp
cp_cox_crossfit,CP + Cox (Cross-Fit),0.905,1.1552162321676869,0.1630163655449953,aft_lognormal_linear,Log-Normal AFT (Linear),10,28260424,0.7,1.552376433423668,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3964285714285714,0.1957142857142857
cp_cox_full,CP + Cox,0.9166666666666666,1.1429377275489832,0.21851665550837293,aft_lognormal_linear,Log-Normal AFT (Linear),11,28260425,0.7,1.5825157934133873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41928571428571426,0.21714285714285714
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9233333333333333,1.1485790191990035,0.21483776089864423,aft_lognormal_linear,Log-Normal AFT (Linear),11,28260425,0.7,1.5825157934133873,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41928571428571426,0.21714285714285714
cp_cox_full,CP + Cox,0.9166666666666666,1.1586874121499806,0.14763489257941304,aft_lognormal_linear,Log-Normal AFT (Linear),12,28260426,0.7,1.5665447144264855,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.19857142857142857
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9016666666666666,1.1386153942799109,0.1575196157554494,aft_lognormal_linear,Log-Normal AFT (Linear),12,28260426,0.7,1.5665447144264855,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40285714285714286,0.19857142857142857
cp_cox_full,CP + Cox,0.9266666666666666,1.1628564345611188,0.19153319588360673,aft_lognormal_linear,Log-Normal AFT (Linear),13,28260427,0.7,1.5948771302624534,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.405,0.20642857142857143
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9283333333333333,1.1661641668780665,0.1896804890013409,aft_lognormal_linear,Log-Normal AFT (Linear),13,28260427,0.7,1.5948771302624534,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.405,0.20642857142857143
cp_cox_full,CP + Cox,0.88,1.1158624868514464,0.20590901842593518,aft_lognormal_linear,Log-Normal AFT (Linear),14,28260428,0.7,1.5735653495847663,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3964285714285714,0.21857142857142858
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9033333333333333,1.1506982369837049,0.1860183574044994,aft_lognormal_linear,Log-Normal AFT (Linear),14,28260428,0.7,1.5735653495847663,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.3964285714285714,0.21857142857142858
cp_cox_full,CP + Cox,0.8766666666666667,1.1192495586954356,0.2245691939049193,aft_lognormal_linear,Log-Normal AFT (Linear),15,28260429,0.7,1.5826172336643034,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.42428571428571427,0.205
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.1335263866860752,0.21681001237697972,aft_lognormal_linear,Log-Normal AFT (Linear),15,28260429,0.7,1.5826172336643034,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.42428571428571427,0.205
cp_cox_full,CP + Cox,0.8883333333333333,1.0956021432397907,0.16773430359652325,aft_lognormal_linear,Log-Normal AFT (Linear),16,28260430,0.7,1.5135464067807645,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40785714285714286,0.215
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8883333333333333,1.0945502410522117,0.16821071290348297,aft_lognormal_linear,Log-Normal AFT (Linear),16,28260430,0.7,1.5135464067807645,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.40785714285714286,0.215
cp_cox_full,CP + Cox,0.9,1.1931821275334746,0.21722997153243226,aft_lognormal_linear,Log-Normal AFT (Linear),17,28260431,0.7,1.6451524398762845,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4057142857142857,0.215
cp_cox_crossfit,CP + Cox (Cross-Fit),0.9066666666666666,1.2023519387858697,0.21191420293956922,aft_lognormal_linear,Log-Normal AFT (Linear),17,28260431,0.7,1.6451524398762845,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4057142857142857,0.215
cp_cox_full,CP + Cox,0.885,1.1890615088853507,0.19917299277019165,aft_lognormal_linear,Log-Normal AFT (Linear),18,28260432,0.7,1.6429771831531723,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41785714285714287,0.21857142857142858
cp_cox_crossfit,CP + Cox (Cross-Fit),0.895,1.2024543040219446,0.19189048323869473,aft_lognormal_linear,Log-Normal AFT (Linear),18,28260432,0.7,1.6429771831531723,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.41785714285714287,0.21857142857142858
cp_cox_full,CP + Cox,0.8683333333333333,0.970922904187461,0.1920444266602213,aft_lognormal_linear,Log-Normal AFT (Linear),19,28260433,0.7,1.4154471559562072,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4207142857142857,0.19642857142857142
cp_cox_crossfit,CP + Cox (Cross-Fit),0.8983333333333333,1.0211640656577594,0.16348846254587865,aft_lognormal_linear,Log-Normal AFT (Linear),19,28260433,0.7,1.4154471559562072,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4207142857142857,0.19642857142857142
cp_cox_full,CP + Cox,0.8933333333333333,1.1674697543128125,0.17821974172129107,aft_lognormal_linear,Log-Normal AFT (Linear),20,28260434,0.7,1.6023669179206883,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4042857142857143,0.21571428571428572
cp_cox_crossfit,CP + Cox (Cross-Fit),0.885,1.1591060101330894,0.1832432565785966,aft_lognormal_linear,Log-Normal AFT (Linear),20,28260434,0.7,1.6023669179206883,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4042857142857143,0.21571428571428572
cp_cox_full,CP + Cox,0.8983333333333333,1.1534161239710832,0.14356606919596096,aft_lognormal_linear,Log-Normal AFT (Linear),21,28260435,0.7,1.548869770755622,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4164285714285714,0.21
cp_cox_crossfit,CP + Cox (Cross-Fit),0.88,1.1231422545664131,0.15913019156956493,aft_lognormal_linear,Log-Normal AFT (Linear),21,28260435,0.7,1.548869770755622,2000,0.3,3,0.3,0.7,0.2,0.1,1500,5,0.4164285714285714,0.21
